"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2023-09-01,2200.09,2175.81,2186.21,NA,1,NA
2023-08-31,2195.33,2179.74,2184.74,NA,1,NA
2023-08-30,2198.41,2178.75,2185.08,NA,1,NA
2023-08-29,2194.44,2179.63,2191.46,NA,1,NA
2023-08-28,2177.89,2161.22,2174.31,NA,1,NA
2023-08-25,2164.62,2133.48,2148.47,NA,1,NA
2023-08-24,2178.42,2144.83,2145.74,NA,1,NA
2023-08-23,2161.48,2148.74,2154.7,NA,1,NA
2023-08-22,2163.01,2143.06,2153.65,NA,1,NA
2023-08-21,2159.76,2137.65,2139.03,NA,1,NA
2023-08-18,2150.06,2132.09,2145.66,NA,1,NA
2023-08-17,2167.58,2151.4,2154.56,NA,1,NA
2023-08-16,2185.5,2166.39,2180.56,NA,1,NA
2023-08-15,2204.3,2172.52,2178.5,NA,1,NA
2023-08-14,2210.1,2191.27,2203.3,NA,1,NA
2023-08-11,2217.62,2195.61,2203.4,NA,1,NA
2023-08-10,2230.91,2212.81,2223.17,NA,1,NA
2023-08-09,2226.22,2206.91,2209.52,NA,1,NA
2023-08-08,2210.44,2187.08,2194.44,NA,1,NA
2023-08-07,2209.83,2192.35,2209.83,NA,1,NA
2023-08-04,2213.86,2192.24,2209.64,NA,1,NA
2023-08-03,2214.34,2189.73,2196.59,NA,1,NA
2023-08-02,2229.43,2199.59,2222.74,NA,1,NA
2023-08-01,2252.86,2239.92,2240.12,NA,1,NA
2023-07-31,2256.82,2245.05,2250.92,NA,1,NA
2023-07-28,2258.64,2246.35,2253.85,NA,1,NA
2023-07-27,2265.78,2237.01,2254.15,NA,1,NA
2023-07-26,2255.76,2220.08,2235.23,NA,1,NA
2023-07-25,2261.8,2233.16,2259.09,NA,1,NA
2023-07-24,2244.18,2217.99,2243.81,NA,1,NA
2023-07-21,2228.8,2202.29,2227.45,NA,1,NA
2023-07-20,2225.7,2199.98,2224.52,NA,1,NA
2023-07-19,2263.32,2234.59,2235.75,NA,1,NA
2023-07-18,2259.58,2239.62,2258.83,NA,1,NA
2023-07-17,2244.24,2225.85,2243.13,NA,1,NA
2023-07-14,2259.27,2243.04,2248.08,NA,1,NA
2023-07-13,2270.5,2254.84,2261.2,NA,1,NA
2023-07-12,2266.27,2239.16,2264.21,NA,1,NA
2023-07-11,2253.4,2231.26,2247.96,NA,1,NA
2023-07-10,2247.93,2228.7,2243.79,NA,1,NA
2023-07-07,2254.68,2227.33,2246.19,NA,1,NA
2023-07-06,2270.18,2229.36,2238.51,NA,1,NA
2023-07-05,2296.76,2274.44,2279.42,NA,1,NA
2023-07-04,2301.84,2290.29,2295.93,NA,1,NA
2023-07-03,2316.34,2294.59,2294.59,NA,1,NA
2023-06-30,2314.18,2290.61,2309.9,NA,1,NA
2023-06-29,2292.5,2259.05,2284.77,NA,1,NA
2023-06-28,2268.46,2254.69,2262.07,NA,1,NA
2023-06-27,2244.62,2220.87,2244.6,NA,1,NA
2023-06-26,2240.29,2205.37,2238.5,NA,1,NA
2023-06-22,2246.03,2224.29,2235.41,NA,1,NA
2023-06-21,2280.03,2258.77,2265.63,NA,1,NA
2023-06-20,2290.23,2276.95,2281.16,NA,1,NA
2023-06-19,2312.47,2289.58,2292.68,NA,1,NA
2023-06-16,2326.12,2311.23,2322.64,NA,1,NA
2023-06-15,2317.44,2292.55,2310.66,NA,1,NA
2023-06-14,2315.23,2303.69,2312.75,NA,1,NA
2023-06-13,2325.57,2308.98,2320.96,NA,1,NA
2023-06-12,2315.54,2295.17,2299.5,NA,1,NA
2023-06-09,2309.13,2292.92,2301.98,NA,1,NA
2023-06-08,2311.53,2295.46,2302.98,NA,1,NA
2023-06-07,2311.8,2299.86,2305.36,NA,1,NA
2023-06-05,2311.42,2288.79,2293.06,NA,1,NA
2023-06-02,2295.03,2266.14,2292.5,NA,1,NA
2023-06-01,2257.14,2238.39,2252.43,NA,1,NA
2023-05-31,2259.06,2233.11,2234.96,NA,1,NA
2023-05-30,2279.43,2253.54,2255,NA,1,NA
2023-05-29,2283.63,2253.34,2258.64,NA,1,NA
2023-05-26,2276.87,2239.43,2272.2,NA,1,NA
2023-05-25,2244.19,2221.04,2231.57,NA,1,NA
2023-05-24,2250.81,2224.41,2229.89,NA,1,NA
